Region,Vocalization,Time,Temperature
Ear,Scream,9,-0.0245
Ear,Scream,12,0.1156
Ear,Scream,22,0.2606
Ear,Scream,21,-0.6733
Ear,Scream,21,-1.0758
Ear,Scream,9,0.1044
Ear,Scream,16,0.8602
Ear,Scream,16,-0.329
Ear,Scream,13,-0.034
Ear,Scream,21,-0.1331
Ear,Scream,26,0.1508
Ear,Scream,25,-0.633
Ear,Scream,13,-0.1778
Ear,Scream,20,-1.3964
Ear,Scream,25,-0.2371
Ear,Scream,16,0.0589
Ear,Scream,17,-0.2487
Ear,Scream,20,0.0328
Ear,Scream,21,0.1418
Ear,Scream,25,-0.0917
Ear,Scream,25,0.1637
Nose,Whimper,-30,1.3683
Nose,Whimper,-24,0.6826
Nose,Whimper,16,-1.3683
Nose,Whimper,-19,0.4914
Nose,Whimper,-12,2.788
Nose,Whimper,-8,-0.2475
Nose,Whimper,-4,0.7227
Nose,Whimper,0,0.6557
Nose,Whimper,3,-1.7517
Nose,Whimper,8,-1.9273
Nose,Whimper,14,-2.0738
Nose,Whimper,20,0.66
Ear,Whimper,-30,0.0524
Ear,Whimper,-26,-0.1005
Ear,Whimper,-24,0.7059
Ear,Whimper,-21,0.0335
Ear,Whimper,-11,-0.4459
Ear,Whimper,-19,0.1272
Ear,Whimper,-17,-0.1059
Ear,Whimper,-7,0.0338
Ear,Whimper,-12,1.1959
Ear,Whimper,-11,0.1586
Ear,Whimper,-3,0.2712
Ear,Whimper,0,-0.7553
Ear,Whimper,-5,0.5561
Ear,Whimper,0,0.2415
Ear,Whimper,3,-1.1977
Ear,Whimper,0,0.7819
Ear,Whimper,8,-0.076
Ear,Whimper,4,0.6578
Ear,Whimper,14,-0.9869
Ear,Whimper,8,0.1638
Ear,Whimper,20,0.9868
Ear,Whimper,12,0.0392
Ear,Whimper,16,-0.7244
Ear,Whimper,22,-1.6129
Nose,Pant-hoot,-21,-0.1001
Nose,Pant-hoot,-13,-0.1332
Nose,Pant-hoot,-16,0.1546
Nose,Pant-hoot,-8,0.2615
Nose,Pant-hoot,-11,-0.1071
Nose,Pant-hoot,-4,-0.1283
Nose,Pant-hoot,-8,-0.4904
Nose,Pant-hoot,-4,-0.0546
Nose,Pant-hoot,0,0.1052
Nose,Pant-hoot,4,-0.1738
Nose,Pant-hoot,8,-0.278
Nose,Pant-hoot,12,0.1585
Nose,Pant-hoot,17,0.09
Nose,Pant-hoot,20,0.3519
Nose,Pant-hoot,24,0.3438
Ear,Pant-hoot,-16,0.2033
Ear,Pant-hoot,-30,1.9435
Ear,Pant-hoot,-13,-0.0108
Ear,Pant-hoot,-21,-2.3051
Ear,Pant-hoot,-13,-0.5713
Ear,Pant-hoot,-30,0
Ear,Pant-hoot,-11,0
Ear,Pant-hoot,-12,-0.0678
Ear,Pant-hoot,-26,1.2767
Ear,Pant-hoot,-9,0.3078
Ear,Pant-hoot,-16,-3.3635
Ear,Pant-hoot,-8,-0.209
Ear,Pant-hoot,-7,0.1549
Ear,Pant-hoot,-21,0.1238
Ear,Pant-hoot,-4,0.5198
Ear,Pant-hoot,-11,1.8153
Ear,Pant-hoot,-4,-0.4415
Ear,Pant-hoot,-3,0.1578
Ear,Pant-hoot,-16,-0.1502
Ear,Pant-hoot,16,0.1564
Ear,Pant-hoot,-8,1.3744
Ear,Pant-hoot,0,0.0686
Ear,Pant-hoot,0,-0.0309
Ear,Pant-hoot,-12,-1.0924
Ear,Pant-hoot,23,-0.9732
Ear,Pant-hoot,-4,1.3019
Ear,Pant-hoot,4,0.2551
Ear,Pant-hoot,5,-0.0194
Ear,Pant-hoot,-9,-1.1706
Ear,Pant-hoot,0,1.8065
Ear,Pant-hoot,10,-0.031
Ear,Pant-hoot,9,-0.2927
Ear,Pant-hoot,-4,-1.9305
Ear,Pant-hoot,4,1.4781
Ear,Pant-hoot,14,0.3349
Ear,Pant-hoot,14,-0.1052
Ear,Pant-hoot,0,-1.5045
Ear,Pant-hoot,8,-2.5724
Ear,Pant-hoot,17,0.278
Ear,Pant-hoot,4,0.464
Ear,Pant-hoot,17,-0.8169
Ear,Pant-hoot,21,0.0142
Ear,Pant-hoot,9,-0.0863
Ear,Pant-hoot,20,-1.0771
Ear,Pant-hoot,25,0.302
Ear,Pant-hoot,14,0.9709
Ear,Pant-hoot,24,2.3588
Ear,Pant-hoot,19,1.1557
