,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3,,,,,,,,Figure 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nose,Before,After,,Ear,Before,After,,Nose Aversive,Time,Temperature,,Nose Non-aversive,Time,Temperature,,Ear Aversive,Time,Temperature,,Ear Non-aversive,Time,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0078,-0.0559,,,0.1633,-0.2365,,,-47,0.2798,,,-32,0.7715,,,-47,0.1617,,,-25,0.3052,,,Nose Bark,Time,Temperature,,Ear Bark,Time,Temperature,,Nose Scream,Time,Temperature,,Ear Scream,Time,Temperature,,Nose Whimper,Time,Temperature,,Ear Whimper,Time,Temperature,,Nose Pant hoot,Time,Temperature,,Ear Pant hoot,Time,Temperature
,0.0874,0.3254,,,-0.2643,-0.2108,,,-17,0.5676,,,-24,0.1808,,,-100,0.173,,,-32,0.8051,,,,-20,0.4565,,,-20,-1.4463,,,-29,0.1644,,,-29,-0.3569,,,-30,1.3683,,,-30,0.0524,,,-21,-0.1001,,,-16,0.2033
,0.1165,-0.0286,,,0.5873,-0.2825,,,0,-0.6674,,,-32,0.718,,,-17,0.5287,,,-24,-0.2826,,,,-14,0.1585,,,-19,-0.292,,,-30,0.2338,,,-30,0.1312,,,-24,0.6826,,,-26,-0.1005,,,-13,-0.1332,,,-30,1.9435
,-0.6674,0,,,-0.4221,0.9604,,,-26,-0.2537,,,-9,0.4721,,,0,-0.0766,,,-32,-0.2839,,,,-27,0.5098,,,-18,0.0551,,,-23,0.0177,,,-30,0.3206,,,16,-1.3683,,,-24,0.7059,,,-16,0.1546,,,-13,-0.0108
,0.0755,-0.0979,,,-0.0766,0,,,-27,0.0774,,,-30,-0.4907,,,-26,-0.3004,,,-9,-0.0382,,,,-13,0.0818,,,-13,0.0991,,,-30,0.7503,,,-23,0.2846,,,-19,0.4914,,,-21,0.0335,,,-8,0.2615,,,-21,-2.3051
,0.0556,-0.1716,,,-0.0419,0.0415,,,-30,1.3683,,,-28,0.039,,,-27,-0.1614,,,-30,-0.0672,,,,-9,-0.1585,,,-14,-0.2143,,,-28,0.3562,,,-29,0.0255,,,-12,2.788,,,-11,-0.4459,,,-11,-0.1071,,,-13,-0.5713
,0.1588,-0.2221,,,-0.0754,0.2026,,,-29,0.1644,,,-25,-0.3159,,,-30,0.0524,,,-30,0.0582,,,,-22,0.5605,,,-13,0.1087,,,-23,0.2186,,,-30,-0.3013,,,-8,-0.2475,,,-19,0.1272,,,-4,-0.1283,,,-30,0
,0,-1.3683,,,-0.017,0.1081,,,-9,-0.2256,,,-19,-0.9554,,,-29,-0.3569,,,-22,0.0087,,,,-8,-1.6502,,,-8,0.1331,,,-22,-1.3063,,,-30,0.0807,,,-4,0.7227,,,-17,-0.1059,,,-8,-0.4904,,,-11,0
